"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0002",1,11,0,0,"AI","control",6,4,"Orange","f","accept",4,471
"2","id0002",1,12,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,284
"3","id0002",1,10,0,0,"AI","control",7,3,"Orange","f","accept",3,594
"4","id0002",0,2,1,0,"practice","control",2,8,"black","f","accept",8,915
"5","id0002",1,1,0,0,"AI","control",9,1,"Orange","j","reject",0,2012
"6","id0002",1,2,0,0,"AI","control",8,2,"Orange","j","reject",0,3619
"7","id0002",1,3,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,152
"8","id0002",1,4,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,764
"9","id0002",1,5,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,1329
"10","id0002",1,6,0,0,"AI","control",5,5,"Orange","f","accept",5,837
"11","id0002",1,7,0,0,"AI","control",8,2,"Orange","j","reject",0,15
"12","id0002",1,8,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,2407
"13","id0002",1,9,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,548
"14","id0002",1,24,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,940
"15","id0002",1,13,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,679
"16","id0002",1,14,0,0,"AI","control",6,4,"Orange","f","accept",4,441
"17","id0002",0,1,1,0,"practice","control",6,4,"black","f","accept",4,1323
"18","id0002",1,15,0,1,"human","control",8,2,"CornflowerBlue","f","accept",2,901
"19","id0002",1,16,0,0,"AI","control",4,6,"Orange","f","accept",6,116
"20","id0002",1,17,0,0,"AI","control",9,1,"Orange","j","reject",0,596
"21","id0002",1,18,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,568
"22","id0002",1,19,0,0,"AI","control",4,6,"Orange","f","accept",6,621
"23","id0002",1,20,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,380
"24","id0002",1,21,0,0,"AI","control",7,3,"Orange","f","accept",3,660
"25","id0002",1,22,0,0,"AI","control",5,5,"Orange","f","accept",5,102
"26","id0002",1,23,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,490
"27","id0003",1,21,0,0,"human","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,351
"28","id0003",1,22,0,0,"AI","training_receiver_self",6,4,"Orange","f","accept",4,322
"29","id0003",1,23,0,0,"AI","training_receiver_self",4,6,"Orange","f","accept",6,585
