"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0002",30,"male","control",2,0.1,606810,"i consider the offer which is presented if it i should accept or i should reject ","Question not asked","Question not asked"
"2","id0003",32,"male","training_receiver_self",5,0.25,862799,"I just wanted to get the best results","Question not asked","Question not asked"
"3","id0004",24,"female","training_receiver_self",6,0.3,724572,"I was going to accept the offeres where either i was making the most or if the offere was even","Question not asked","Question not asked"
"4","id0005",23,"female","training_receiver_self",5,0.25,852661,"i most of the time accept when we earn  equal or i earn  more than my opponent","Question not asked","Question not asked"
"5","id0007",30,"Male","training_receiver_self",4,0.2,661723,"My plan was to reject any offer below $3","Question not asked","Question not asked"
"6","id0009",40,"FEMALE","control",6,0.3,1065395," NO STRATEGIES","Question not asked","Question not asked"
"7","id0010",31,"F","control",0,0,296363,"Based off amounts.","Question not asked","Question not asked"
"8","id0011",38,"Female","control",4,0.2,885281,"Yes I did have strategies when choosing whether to accept or reject an offer in the sense that sometimes, my opponent's offer was lesser than mine and I felt like it should be equal. In that aspect, everyone get to go away with equal offer.","Question not asked","Question not asked"
"9","id0012",57,"Femaie","training_receiver_self",0,0,798058,"The AI does not need money.","Question not asked","Question not asked"
"10","id0013",28,"Male","training_receiver_self",0,0,746894,"Ensure that the amount was close to even on both sides","Question not asked","Question not asked"
"11","id0014",48,"male","control",0,0,471915,"pretty much rejecting the human offer when it was less than 3 dollars. I did reject a couple AI offers in hopes it would change their behaviour.","Question not asked","Question not asked"
"12","id0015",35,"male","training_receiver_self",0,0,1010283,"based on what i earn i have selected the choice","Question not asked","Question not asked"
"13","id0016",20,"female ","training_receiver_self",0,0,809483,"If it was well balanced ","Question not asked","Question not asked"
"14","id0017",40,"Female","control",5,0.25,381266,"I will accept anything that is over a dollar for me","Question not asked","Question not asked"
"15","id0020",26,"male","control",0,0,399702,"i only accepted offers that were equivalent or favored me more than the other participant.","Question not asked","Question not asked"
"16","id0021",34,"Male","training_receiver_self",4,0.2,654669,"accepting what is 50-50 or very close to it. ","Question not asked","Question not asked"
"17","id0022",25,"female","control",6,0.3,341823,"seeing is the reward is worth it ","Question not asked","Question not asked"
"18","id0023",44,"female","training_receiver_self",4,0.2,579743,"i accepted anything more than $4","Question not asked","Question not asked"
"19","id0024",27,"female","training_receiver_self",4,0.2,495456,"No","Question not asked","Question not asked"
"20","id0025",32,"female","training_receiver_self",6,0.3,669328,"equal or more","Question not asked","Question not asked"
"21","id0027",31,"male","control",6,0.3,510622,"Auto reject offer of 2 or less","Question not asked","Question not asked"
"22","id0028",45,"female","control",3,0.15,357153,"rejected them keeping 9 and only offering me 1","Question not asked","Question not asked"
"23","id0029",49,"female","control",0,0,518887,"i was confused but its all good","Question not asked","Question not asked"
"24","id0030",38,"female","control",5,0.25,505889,"no, I didn't","Question not asked","Question not asked"
"25","id0031",44,"Male","control",0,0,452057,"I'm not accepting an unfair offer from a human","Question not asked","Question not asked"
"26","id0032",54,"Male","training_receiver_self",0,0,594194,"I accepted all offers that were over $1","Question not asked","Question not asked"
