"","id","training_condition"
"1","id0001","training_receiver_self"
"2","id0001","training_receiver_self"
"3","id0002","training_receiver_self"
"4","id0002","control"
"5","id0003","training_receiver_self"
"6","id0003","training_receiver_self"
"7","id0003","training_receiver_self"
"8","id0004","training_receiver_self"
"9","id0004","training_receiver_self"
"10","id0005","training_receiver_self"
"11","id0006","control"
"12","id0006","control"
"13","id0006","control"
"14","id0006","control"
"15","id0006","control"
"16","id0007","training_receiver_self"
"17","id0008","training_receiver_self"
"18","id0008","training_receiver_self"
"19","id0009","control"
"20","id0009","control"
"21","id0009","control"
"22","id0009","control"
"23","id0009","control"
"24","id0009","control"
"25","id0009","control"
"26","id0009","control"
"27","id0010","control"
"28","id0011","control"
"29","id0012","training_receiver_self"
"30","id0013","training_receiver_self"
"31","id0013","training_receiver_self"
"32","id0014","control"
"33","id0015","training_receiver_self"
"34","id0015","training_receiver_self"
"35","id0016","training_receiver_self"
"36","id0017","control"
"37","id0018","control"
"38","id0018","control"
"39","id0018","control"
"40","id0018","control"
"41","id0018","control"
"42","id0018","control"
"43","id0018","control"
"44","id0018","control"
"45","id0018","control"
"46","id0018","control"
"47","id0018","control"
"48","id0018","control"
"49","id0018","control"
"50","id0018","control"
"51","id0018","control"
"52","id0019","training_receiver_self"
"53","id0020","control"
"54","id0020","control"
"55","id0020","training_receiver_self"
"56","id0020","training_receiver_self"
"57","id0021","training_receiver_self"
"58","id0021","training_receiver_self"
"59","id0022","control"
"60","id0023","training_receiver_self"
"61","id0023","training_receiver_self"
"62","id0024","training_receiver_self"
"63","id0025","training_receiver_self"
"64","id0025","training_receiver_self"
"65","id0026","control"
"66","id0026","control"
"67","id0026","control"
"68","id0026","control"
"69","id0026","control"
"70","id0026","control"
"71","id0026","control"
"72","id0027","control"
"73","id0028","control"
"74","id0029","control"
"75","id0030","control"
"76","id0031","control"
"77","id0032","training_receiver_self"
"78","id0033","training_receiver_self"
"79","id0034","training_receiver_self"
"80","id0034","training_receiver_self"
"81","id0034","training_receiver_self"
"82","id0034","training_receiver_self"
"83","id0035","training_receiver_self"
"84","id0035","training_receiver_self"
"85","id0036","training_receiver_self"
"86","id0037","control"
"87","id0038","training_receiver_self"
"88","id0038","training_receiver_self"
"89","id0039","training_receiver_self"
"90","id0039","training_receiver_self"
"91","id0040","training_receiver_self"
"92","id0041","control"
"93","id0042","training_receiver_self"
"94","id0043","training_receiver_self"
"95","id0043","training_receiver_self"
"96","id0044","control"
"97","id0045","control"
"98","id0046","control"
"99","id0047","control"
"100","id0048","training_receiver_self"
"101","id0049","control"
"102","id0050","control"
"103","id0051","training_receiver_self"
"104","id0051","training_receiver_self"
"105","id0052","control"
"106","id0053","training_receiver_self"
"107","id0053","training_receiver_self"
"108","id0054","training_receiver_self"
"109","id0054","training_receiver_self"
"110","id0055","training_receiver_self"
"111","id0056","control"
"112","id0057","control"
"113","id0058","control"
"114","id0059","training_receiver_self"
"115","id0060","training_receiver_self"
"116","id0060","training_receiver_self"
"117","id0061","training_receiver_self"
"118","id0061","training_receiver_self"
"119","id0062","training_receiver_self"
"120","id0062","training_receiver_self"
"121","id0062","training_receiver_self"
"122","id0063","training_receiver_self"
"123","id0064","control"
"124","id0065","control"
"125","id0065","control"
"126","id0065","control"
"127","id0065","control"
"128","id0066","control"
"129","id0066","control"
"130","id0067","training_receiver_self"
"131","id0067","training_receiver_self"
"132","id0067","training_receiver_self"
"133","id0068","training_receiver_self"
"134","id0068","training_receiver_self"
"135","id0069","control"
"136","id0070","training_receiver_self"
"137","id0070","training_receiver_self"
"138","id0071","control"
"139","id0072","control"
"140","id0073","training_receiver_self"
"141","id0074","training_receiver_self"
"142","id0074","training_receiver_self"
"143","id0075","training_receiver_self"
"144","id0075","training_receiver_self"
"145","id0075","training_receiver_self"
"146","id0076","control"
"147","id0077","control"
"148","id0078","training_receiver_self"
"149","id0078","training_receiver_self"
"150","id0079","control"
"151","id0080","control"
"152","id0081","control"
"153","id0082","control"
"154","id0083","training_receiver_self"
"155","id0083","training_receiver_self"
"156","id0084","control"
"157","id0084","control"
"158","id0084","control"
"159","id0084","control"
"160","id0084","control"
"161","id0084","control"
"162","id0084","control"
"163","id0084","control"
"164","id0085","control"
"165","id0086","control"
"166","id0086","control"
"167","id0086","control"
"168","id0086","control"
"169","id0087","training_receiver_self"
"170","id0088","training_receiver_self"
"171","id0089","control"
"172","id0090","training_receiver_self"
"173","id0090","training_receiver_self"
"174","id0091","training_receiver_self"
"175","id0091","training_receiver_self"
"176","id0091","training_receiver_self"
"177","id0092","control"
"178","id0093","training_receiver_self"
"179","id0094","training_receiver_self"
"180","id0095","training_receiver_self"
"181","id0096","control"
"182","id0097","control"
"183","id0098","control"
"184","id0099","training_receiver_self"
"185","id0099","training_receiver_self"
"186","id0100","training_receiver_self"
"187","id0101","control"
"188","id0102","training_receiver_self"
"189","id0103","control"
"190","id0103","control"
"191","id0103","control"
"192","id0103","control"
"193","id0103","control"
"194","id0103","control"
"195","id0103","control"
"196","id0103","control"
"197","id0104","training_receiver_self"
"198","id0105","training_receiver_self"
"199","id0106","control"
"200","id0106","control"
"201","id0107","control"
"202","id0108","control"
"203","id0109","control"
"204","id0110","training_receiver_self"
"205","id0110","training_receiver_self"
"206","id0111","control"
"207","id0112","control"
"208","id0113","training_receiver_self"
