"","id","training_condition"
"1","id0001","training_receiver_self"
"2","id0002","control"
"3","id0003","training_receiver_others"
"4","id0004","training_receiver_others"
"5","id0004","training_receiver_others"
"6","id0005","control"
"7","id0006","control"
"8","id0007","training_receiver_others"
"9","id0008","training_receiver_self"
"10","id0008","training_receiver_self"
"11","id0009","control"
"12","id0010","training_receiver_self"
"13","id0011","training_receiver_others"
"14","id0012","training_receiver_others"
"15","id0013","training_receiver_self"
"16","id0014","control"
"17","id0015","training_receiver_others"
"18","id0015","training_receiver_others"
"19","id0015","training_receiver_others"
"20","id0016","training_receiver_others"
"21","id0017","training_receiver_others"
"22","id0017","training_receiver_others"
"23","id0018","training_receiver_self"
"24","id0018","training_receiver_self"
"25","id0018","training_receiver_self"
"26","id0018","training_receiver_self"
"27","id0019","training_receiver_self"
"28","id0019","training_receiver_self"
"29","id0020","control"
"30","id0021","training_receiver_others"
"31","id0021","training_receiver_others"
"32","id0022","control"
"33","id0023","training_receiver_self"
"34","id0024","training_receiver_self"
"35","id0024","training_receiver_self"
"36","id0025","training_receiver_others"
"37","id0025","training_receiver_others"
"38","id0025","training_receiver_others"
"39","id0025","training_receiver_others"
"40","id0026","training_receiver_self"
"41","id0026","training_receiver_self"
"42","id0027","control"
"43","id0028","training_receiver_self"
"44","id0029","training_receiver_self"
"45","id0030","control"
"46","id0031","training_receiver_self"
"47","id0032","training_receiver_self"
"48","id0033","training_receiver_self"
"49","id0034","training_receiver_self"
"50","id0034","training_receiver_self"
"51","id0035","control"
"52","id0036","training_receiver_others"
"53","id0037","training_receiver_self"
"54","id0038","training_receiver_others"
"55","id0038","training_receiver_others"
"56","id0039","training_receiver_self"
"57","id0040","training_receiver_self"
"58","id0041","training_receiver_others"
"59","id0042","training_receiver_self"
"60","id0043","training_receiver_self"
"61","id0044","control"
"62","id0045","training_receiver_others"
"63","id0046","control"
"64","id0047","control"
"65","id0047","control"
"66","id0048","control"
"67","id0049","training_receiver_others"
"68","id0049","training_receiver_others"
"69","id0050","training_receiver_self"
"70","id0050","training_receiver_self"
"71","id0051","control"
"72","id0052","training_receiver_self"
"73","id0053","control"
"74","id0053","control"
"75","id0054","control"
"76","id0055","training_receiver_self"
"77","id0056","training_receiver_self"
"78","id0057","training_receiver_self"
"79","id0058","training_receiver_others"
"80","id0059","training_receiver_others"
"81","id0060","training_receiver_others"
"82","id0061","control"
"83","id0062","training_receiver_self"
"84","id0063","control"
"85","id0064","control"
"86","id0065","control"
"87","id0066","training_receiver_self"
"88","id0067","training_receiver_others"
"89","id0068","control"
"90","id0069","training_receiver_others"
"91","id0070","training_receiver_self"
"92","id0070","training_receiver_self"
"93","id0071","training_receiver_self"
"94","id0072","training_receiver_others"
"95","id0072","training_receiver_others"
"96","id0073","training_receiver_self"
"97","id0073","training_receiver_self"
"98","id0073","training_receiver_self"
"99","id0074","training_receiver_others"
"100","id0075","control"
"101","id0076","control"
"102","id0077","training_receiver_self"
"103","id0077","training_receiver_self"
"104","id0077","training_receiver_self"
"105","id0077","training_receiver_self"
"106","id0078","control"
"107","id0079","training_receiver_others"
"108","id0079","training_receiver_others"
"109","id0079","training_receiver_others"
"110","id0080","training_receiver_others"
"111","id0080","training_receiver_others"
"112","id0081","training_receiver_self"
"113","id0082","control"
"114","id0083","training_receiver_self"
"115","id0084","training_receiver_others"
"116","id0085","control"
"117","id0086","control"
"118","id0087","training_receiver_self"
"119","id0088","training_receiver_others"
"120","id0088","training_receiver_others"
"121","id0089","control"
"122","id0090","training_receiver_others"
"123","id0091","control"
"124","id0092","control"
"125","id0093","training_receiver_others"
"126","id0093","training_receiver_others"
"127","id0094","control"
"128","id0095","training_receiver_self"
"129","id0096","training_receiver_self"
"130","id0097","training_receiver_self"
"131","id0097","training_receiver_self"
"132","id0098","training_receiver_others"
"133","id0099","training_receiver_self"
"134","id0100","training_receiver_others"
"135","id0101","training_receiver_self"
"136","id0101","training_receiver_self"
"137","id0101","training_receiver_self"
"138","id0102","training_receiver_others"
"139","id0103","training_receiver_self"
"140","id0104","training_receiver_others"
"141","id0105","control"
"142","id0106","training_receiver_others"
"143","id0107","training_receiver_self"
"144","id0107","training_receiver_self"
"145","id0107","training_receiver_self"
"146","id0108","training_receiver_self"
"147","id0108","training_receiver_self"
"148","id0109","control"
"149","id0109","control"
"150","id0110","training_receiver_others"
"151","id0111","control"
"152","id0111","control"
"153","id0111","control"
"154","id0111","control"
"155","id0111","control"
"156","id0112","training_receiver_self"
"157","id0112","training_receiver_self"
"158","id0113","training_receiver_self"
"159","id0113","training_receiver_self"
"160","id0114","training_receiver_self"
"161","id0114","training_receiver_self"
"162","id0114","training_receiver_self"
"163","id0115","control"
"164","id0116","training_receiver_others"
"165","id0117","training_receiver_self"
"166","id0117","training_receiver_self"
"167","id0118","training_receiver_others"
"168","id0119","control"
"169","id0120","training_receiver_others"
"170","id0121","training_receiver_self"
"171","id0121","training_receiver_self"
"172","id0122","control"
"173","id0123","training_receiver_self"
"174","id0124","training_receiver_self"
"175","id0125","training_receiver_self"
"176","id0125","training_receiver_self"
"177","id0125","training_receiver_self"
"178","id0126","control"
"179","id0127","training_receiver_self"
"180","id0128","training_receiver_self"
"181","id0128","training_receiver_self"
"182","id0129","training_receiver_others"
"183","id0129","training_receiver_others"
"184","id0130","control"
"185","id0131","control"
"186","id0132","control"
"187","id0133","control"
"188","id0133","control"
"189","id0134","training_receiver_others"
"190","id0134","training_receiver_others"
"191","id0134","training_receiver_others"
"192","id0134","training_receiver_others"
"193","id0135","training_receiver_others"
"194","id0136","training_receiver_others"
"195","id0136","training_receiver_others"
"196","id0137","training_receiver_others"
"197","id0138","training_receiver_others"
"198","id0138","training_receiver_others"
"199","id0139","control"
"200","id0140","training_receiver_self"
"201","id0141","control"
"202","id0142","training_receiver_self"
"203","id0143","control"
"204","id0144","control"
"205","id0145","training_receiver_others"
"206","id0145","training_receiver_others"
"207","id0146","control"
"208","id0147","training_receiver_self"
"209","id0148","training_receiver_self"
"210","id0148","training_receiver_self"
"211","id0149","control"
"212","id0150","training_receiver_others"
"213","id0151","training_receiver_self"
"214","id0151","training_receiver_self"
"215","id0152","control"
"216","id0153","training_receiver_others"
"217","id0153","training_receiver_others"
"218","id0153","training_receiver_others"
"219","id0154","training_receiver_others"
"220","id0155","training_receiver_self"
"221","id0155","training_receiver_self"
"222","id0156","training_receiver_self"
"223","id0156","training_receiver_self"
"224","id0156","training_receiver_self"
"225","id0156","training_receiver_self"
"226","id0156","training_receiver_self"
"227","id0156","training_receiver_self"
"228","id0156","training_receiver_self"
"229","id0157","training_receiver_self"
"230","id0157","training_receiver_self"
"231","id0158","control"
"232","id0159","training_receiver_self"
"233","id0160","control"
"234","id0160","control"
"235","id0161","training_receiver_others"
"236","id0161","training_receiver_others"
"237","id0162","control"
"238","id0163","training_receiver_self"
"239","id0164","control"
"240","id0165","training_receiver_others"
"241","id0165","training_receiver_others"
"242","id0165","training_receiver_others"
"243","id0166","training_receiver_self"
"244","id0167","training_receiver_others"
"245","id0167","training_receiver_others"
"246","id0168","control"
"247","id0169","control"
"248","id0170","control"
"249","id0170","control"
"250","id0171","training_receiver_others"
"251","id0172","training_receiver_others"
"252","id0173","training_receiver_others"
"253","id0173","training_receiver_others"
"254","id0174","training_receiver_others"
"255","id0175","training_receiver_self"
"256","id0175","training_receiver_self"
"257","id0175","training_receiver_self"
"258","id0175","training_receiver_self"
"259","id0176","training_receiver_others"
"260","id0177","training_receiver_self"
"261","id0178","training_receiver_others"
"262","id0179","control"
"263","id0180","training_receiver_others"
"264","id0181","training_receiver_others"
"265","id0182","training_receiver_self"
"266","id0183","training_receiver_others"
"267","id0184","training_receiver_self"
"268","id0185","training_receiver_self"
"269","id0185","training_receiver_self"
"270","id0186","training_receiver_self"
"271","id0187","training_receiver_others"
"272","id0187","training_receiver_others"
"273","id0187","training_receiver_others"
"274","id0187","training_receiver_others"
"275","id0187","training_receiver_others"
"276","id0188","control"
"277","id0189","control"
"278","id0190","control"
"279","id0191","training_receiver_others"
"280","id0191","training_receiver_others"
"281","id0191","training_receiver_others"
"282","id0192","control"
"283","id0193","control"
"284","id0194","training_receiver_others"
"285","id0195","training_receiver_others"
"286","id0196","control"
"287","id0197","training_receiver_others"
"288","id0198","training_receiver_self"
"289","id0198","training_receiver_self"
"290","id0199","control"
"291","id0200","training_receiver_others"
"292","id0200","training_receiver_others"
"293","id0201","training_receiver_self"
"294","id0202","control"
"295","id0203","training_receiver_self"
"296","id0204","control"
"297","id0205","training_receiver_others"
"298","id0206","control"
"299","id0207","training_receiver_self"
"300","id0208","training_receiver_others"
"301","id0209","control"
"302","id0210","control"
"303","id0211","training_receiver_self"
"304","id0212","control"
"305","id0213","training_receiver_self"
"306","id0213","training_receiver_self"
"307","id0214","control"
"308","id0215","training_receiver_self"
"309","id0216","training_receiver_self"
"310","id0216","training_receiver_self"
"311","id0217","training_receiver_others"
"312","id0218","control"
"313","id0218","control"
"314","id0219","training_receiver_self"
"315","id0220","training_receiver_others"
"316","id0220","training_receiver_others"
"317","id0221","control"
"318","id0222","training_receiver_self"
"319","id0222","training_receiver_self"
"320","id0223","training_receiver_self"
"321","id0224","training_receiver_self"
"322","id0225","control"
"323","id0226","training_receiver_self"
"324","id0227","control"
"325","id0228","training_receiver_others"
"326","id0229","training_receiver_self"
"327","id0230","training_receiver_self"
"328","id0230","training_receiver_self"
"329","id0231","training_receiver_self"
"330","id0231","training_receiver_self"
